Espécie,Zona de produção,Capitania,Data da colheita,Toxinas Lipofílicas
Mexilhão,LAL,Setúbal,05/01/2015,20.0
A. Boa,VT1,Tavira-VRSA,05/01/2015,20.0
Berbigão,FAR2,Faro,05/01/2015,15.0
Mexilhão,L8,Olhão,05/01/2015,23.0
Mexilhão,OLH2,Olhão,05/01/2015,40.0
Mexilhão,FAR1,Faro,05/01/2015,17.0
Conquilha,L8,Olhão,05/01/2015,107.0
Conquilha,L9,VRSA,05/01/2015,135.0
Pé-de-burrinho,L9,VRSA,05/01/2015,17.0
A. Branca,L9,VRSA,05/01/2015,25.0
Mexilhão,LOB,Peniche,06/01/2015,25.3
Mexilhão,L5,Peniche,06/01/2015,25.3
Berbigão,LOB,Peniche,06/01/2015,68.0
Mexilhão,RIAV1,Aveiro,05/01/2015,52.0
Mexilhão,RIAV2,Aveiro,05/01/2015,49.0
Mexilhão,RIAV4,Aveiro,05/01/2015,23.0
A. Branca,L3,Aveiro,05/01/2015,25.3
Berbigão,RIAV1,Aveiro,05/01/2015,25.3
Berbigão,RIAV2,Aveiro,05/01/2015,26.0
Berbigão,RIAV3,Aveiro,05/01/2015,25.3
Berbigão,ESD1,Setúbal,06/01/2015,16.0
Mexilhão,L6,Setúbal,06/01/2015,26.0
A. Japonesa,ESD2,Setúbal,06/01/2015,25.3
Conquilha,L9,VRSA,06/01/2015,173.0
Mexilhão,L7c,Lagos,06/01/2015,24.0
Mexilhão,L7c,Lagos,06/01/2015,40.0
Lambujinha,EMN2,Fig. Foz,06/01/2015,23.0
Berbigão,OLH1,Olhão,06/01/2015,25.0
Berbigão,OLH5,Olhão,06/01/2015,26.0
Mexilhão,TAV2,Tavira,07/01/2015,49.0
Mexilhão,L7a,Lagos,06/01/2015,42.0
Mexilhão,POR2,Portimão,06/01/2015,27.0
Mexilhão,LAG,Lagos,06/01/2015,15.0
Mexilhão,OLH3,Olhão,06/01/2015,54.0
Mexilhão,FUZ1,Olhão,06/01/2015,56.0
Mexilhão,OLH4,Olhão,06/01/2015,35.0
Mexilhão,ETJ,Lisboa,07/01/2015,25.3
Mexilhão,L5,Lisboa,07/01/2015,25.3
Mexilhão,LAL,Setúbal,12/01/2015,16.0
A. Japonesa,ETJ,Lisboa,13/01/2015,29.0
Mexilhão,L7c,Lagos,12/01/2015,29.0
Conquilha,L8,Olhão,12/01/2015,132.0
A. Boa,VT1,Tavira-VRSA,12/01/2015,23.0
Conquilha,L9,VRSA,12/01/2015,239.0
Mexilhão,TAV2,Tavira,12/01/2015,29.0
Mexilhão,OLH2,Olhão,12/01/2015,36.0
Mexilhão,L8,Olhão,12/01/2015,29.0
Mexilhão,RIAV2,Aveiro,12/01/2015,73.0
Mexilhão,RIAV1,Aveiro,12/01/2015,41.0
Mexilhão,RIAV4,Aveiro,12/01/2015,76.0
Berbigão,RIAV1,Aveiro,12/01/2015,40.0
A. Branca,L3,Aveiro,12/01/2015,40.0
Mexilhão,L7c,Lagos,12/01/2015,70.0
Mexilhão,LOB,Peniche,13/01/2015,44.0
Berbigão,LOB,Peniche,13/01/2015,77.0
Berbigão,RIAV2,Aveiro,12/01/2015,43.0
Mexilhão,L3,Aveiro,12/01/2015,129.0
Ameijola,L6,Setúbal,13/01/2015,39.0
Longueirão,L6,Setúbal,13/01/2015,25.3
Berbigão,ESD1,Setúbal,13/01/2015,42.0
A. Japonesa,ESD2,Setúbal,13/01/2015,39.0
Mexilhão,L6,Setúbal,13/01/2015,40.0
Berbigão,OLH5,Olhão,13/01/2015,32.0
Berbigão,OLH1,Olhão,13/01/2015,25.3
Berbigão,FAR2,Faro,13/01/2015,32.0
Mexilhão,OLH4,Olhão,13/01/2015,54.0
Mexilhão,FUZ1,Olhão,13/01/2015,65.0
Mexilhão,OLH3,Olhão,13/01/2015,77.0
Mexilhão,FAR1,Faro,13/01/2015,41.0
Lambujinha,EMN2,Fig. Foz,13/01/2015,25.3
Mexilhão,ETJ,Lisboa,14/01/1900,25.3
Mexilhão,L5,Lisboa,14/01/1900,38.0
Conquilha,L9,VRSA,14/01/1900,144.0
Conquilha,L8,Olhão,14/01/1900,25.3
Berbigão,EMN2,Fig. Foz,13/01/2015,25.3
Mexilhão,L2,Douro,12/01/2015,69.0
Mexilhão,L1,Caminha,13/01/2015,45.0
A. Branca,L2,Douro,06/01/2015,16.0
Mexilhão,L2,Douro,05/01/2015,64.0
Mexilhão,L1,Caminha,06/01/2015,90.0
Mexilhão,LAL,Setúbal,19/01/2015,25.3
Mexilhão,L6,Setúbal,19/01/2015,19.0
A. Japonesa,ESD2,Setúbal,19/01/2015,25.3
Mexilhão,TAV2,Tavira,19/01/2015,47.0
Mexilhão,OLH2,Olhão,19/01/2015,32.0
Mexilhão,FAR1,Faro,19/01/2015,25.3
A. Boa,VT1,Tavira-VRSA,19/01/2015,19.0
Berbigão,FAR2,Faro,19/01/2015,24.0
Berbigão,OLH5,Olhão,19/01/2015,20.0
Mexilhão,L7c,Lagos,19/01/2015,32.0
Mexilhão,LOB,Peniche,20/01/2015,25.3
Berbigão,LOB,Peniche,20/01/2015,25.3
Mexilhão,RIAV1,Aveiro,19/01/2015,42.0
Mexilhão,RIAV4,Aveiro,19/01/2015,31.0
Mexilhão,RIAV2,Aveiro,19/01/2015,58.0
A. Japonesa,ETJ,Lisboa,20/01/2015,25.3
Berbigão,RIAV1,Aveiro,19/01/2015,25.3
Berbigão,RIAV2,Aveiro,19/01/2015,19.0
Mexilhão,L8,Olhão,20/01/2015,29.0
Mexilhão,OLH3,Olhão,20/01/2015,28.0
Mexilhão,OLH4,Olhão,20/01/2015,22.0
Mexilhão,FUZ1,Olhão,20/01/2015,29.0
Berbigão,OLH1,Olhão,20/01/2015,25.3
Mexilhão,ETJ,Lisboa,21/01/2015,25.3
Mexilhão,L5,Lisboa,21/01/2015,25.3
Lambujinha,EMN2,Fig. Foz,20/01/2015,25.3
Berbigão,RIAV4,Aveiro,20/01/2015,15.0
Berbigão,EMN2,Fig. Foz,20/01/2015,25.3
Conquilha,L9,VRSA,22/01/2015,147.0
Mexilhão,L2,Douro,20/01/2015,67.0
Mexilhão,LAG,Lagos,21/01/2015,18.0
Mexilhão,L7c,Lagos,21/01/2015,31.0
Mexilhão,POR2,Portimão,21/01/2015,15.0
Mexilhão,L7a,Lagos,21/01/2015,15.0
Mexilhão,L1,Caminha,21/01/2015,107.0
A. Japonesa,ETJ,Lisboa,26/01/2015,25.3
Longueirão,L6,Setúbal,26/01/2015,25.3
A. Japonesa,ESD2,Setúbal,26/01/2015,25.3
Berbigão,ESD1,Setúbal,26/01/2015,25.3
A. Boa,VT1,Tavira-VRSA,26/01/2015,25.3
Conquilha,L8,Olhão,26/01/2015,111.0
Conquilha,L9,VRSA,26/01/2015,127.0
Berbigão,OLH5,Olhão,26/01/2015,25.3
Mexilhão,L8,Olhão,26/01/2015,17.0
Mexilhão,L7c,Lagos,26/01/2015,25.3
Mexilhão,OLH2,Olhão,26/01/2015,29.0
Berbigão,RIAV1,Aveiro,26/01/2015,25.3
Mexilhão,RIAV4,Aveiro,26/01/2015,22.0
Mexilhão,RIAV1,Aveiro,26/01/2015,35.0
Mexilhão,RIAV2,Aveiro,26/01/2015,49.0
Mexilhão,L3,Aveiro,26/01/2015,70.0
Berbigão,RIAV2,Aveiro,26/01/2015,18.0
Mexilhão,LAL,Setúbal,27/01/2015,19.0
Mexilhão,LOB,Peniche,27/01/2015,25.3
Berbigão,LOB,Peniche,27/01/2015,21.0
Mexilhão,EMR,Sines,26/01/2015,25.3
Mexilhão,L5,Peniche,27/01/2015,25.3
Mexilhão,L7a,Lagos,26/01/2015,25.3
Mexilhão,LAG,Lagos,27/01/2015,17.0
Mexilhão,L7c,Lagos,27/01/2015,23.0
Mexilhão,POR2,Portimão,27/01/2015,16.0
Lambujinha,EMN2,Fig. Foz,27/01/2015,25.3
Berbigão,EMN2,Fig. Foz,27/01/2015,25.3
Mexilhão,ETJ,Lisboa,28/01/2015,25.3
Mexilhão,L5,Lisboa,28/01/2015,25.0
Mexilhão,L2,Douro,28/01/2015,85.0
Mexilhão,TAV2,Tavira,27/01/2015,31.0
Berbigão,FAR2,Faro,28/01/2015,25.3
Mexilhão,FAR1,Faro,28/01/2015,25.3
Mexilhão,L1,Caminha,28/01/2015,89.0
A. Branca,L2,Douro,28/01/2015,25.3
Berbigão,OLH1,Olhão,28/01/2015,25.3
Mexilhão,FUZ1,Olhão,28/01/2015,34.0
Mexilhão,OLH3,Olhão,28/01/2015,40.0
Mexilhão,OLH4,Olhão,28/01/2015,33.0
A. Branca,L3,Aveiro,28/01/2015,23.0
Mexilhão,LAL,Setúbal,02/02/2015,38.0
A. Boa,VT1,Tavira-VRSA,02/02/2015,29.0
Berbigão,OLH5,Olhão,02/02/2015,18.0
Mexilhão,L8,Olhão,02/02/2015,25.3
Mexilhão,TAV2,Tavira,02/02/2015,30.0
Mexilhão,RIAV4,Aveiro,02/02/2015,28.0
Mexilhão,RIAV1,Aveiro,02/02/2015,44.0
Mexilhão,RIAV2,Aveiro,02/02/2015,55.0
Berbigão,RIAV1,Aveiro,02/02/2015,25.3
Berbigão,RIAV2,Aveiro,02/02/2015,25.3
Mexilhão,L7c,Lagos,02/02/2015,25.0
Mexilhão,LOB,Peniche,03/02/2015,25.3
Berbigão,LOB,Peniche,03/02/2015,31.0
A. Japonesa,ETJ,Lisboa,03/02/2015,20.0
Mexilhão,L6,Setúbal,03/02/2015,24.0
Berbigão,ESD1,Setúbal,03/02/2015,25.3
A. Japonesa,ESD2,Setúbal,03/02/2015,25.3
Conquilha,L8,Olhão,03/02/2015,108.0
Conquilha,L9,VRSA,03/02/2015,97.0
Mexilhão,FUZ1,Olhão,03/02/2015,34.0
Mexilhão,OLH3,Olhão,03/02/2015,34.0
Mexilhão,OLH2,Olhão,03/02/2015,37.0
Mexilhão,L7a,Lagos,03/02/2015,25.3
Berbigão,OLH1,Olhão,03/02/2015,41.0
Mexilhão,LAG,Lagos,03/02/2015,29.0
Mexilhão,L7c,Lagos,03/02/2015,25.0
Mexilhão,L5,Lisboa,04/02/2015,23.0
Mexilhão,POR2,Portimão,03/02/2015,32.0
Mexilhão,ETJ,Lisboa,04/02/2015,22.0
Mexilhão,OLH4,Olhão,03/02/2015,36.0
Berbigão,EMN2,Fig. Foz,03/02/2015,18.0
Mexilhão,L2,Douro,03/02/2015,114.0
Mexilhão,L1,Caminha,04/02/2015,97.0
Mexilhão,FAR1,Faro,04/02/2015,27.0
A. Asiática,EMI,Caminha,04/02/2015,18.0
Berbigão,FAR2,Faro,04/02/2015,23.0
Mexilhão,LAL,Setúbal,09/02/2015,33.0
Mexilhão,ETJ,Lisboa,09/02/2015,25.3
Mexilhão,L5,Lisboa,09/02/2015,16.0
Mexilhão,L7c,Lagos,09/02/2015,16.0
Mexilhão,TAV2,Tavira,09/02/2015,23.0
Mexilhão,OLH3,Olhão,09/02/2015,21.0
Mexilhão,OLH4,Olhão,09/02/2015,34.0
Berbigão,OLH1,Olhão,09/02/2015,16.0
Berbigão,OLH5,Olhão,09/02/2015,25.3
Mexilhão,OLH2,Olhão,09/02/2015,26.0
A. Boa,VT1,Tavira-VRSA,09/02/2015,18.0
Mexilhão,FUZ1,Olhão,09/02/2015,23.0
Mexilhão,L5,Peniche,10/02/2015,17.0
Mexilhão,LOB,Peniche,10/02/2015,18.0
Berbigão,LOB,Peniche,10/02/2015,24.0
Mexilhão,RIAV2,Aveiro,09/02/2015,50.0
Mexilhão,RIAV1,Aveiro,09/02/2015,39.0
Mexilhão,RIAV4,Aveiro,09/02/2015,25.3
Berbigão,RIAV1,Aveiro,09/02/2015,25.3
Berbigão,EMN2,Fig. Foz,10/02/2015,25.3
Berbigão,RIAV3,Aveiro,09/02/2015,25.3
Berbigão,RIAV2,Aveiro,09/02/2015,25.3
Mexilhão,L3,Aveiro,09/02/2015,29.0
A. Japonesa,ESD2,Setúbal,10/02/2015,25.3
Mexilhão,L6,Setúbal,10/02/2015,25.3
Berbigão,ESD1,Setúbal,10/02/2015,25.3
A. Branca,L2,Douro,10/02/2015,25.3
Mexilhão,POR2,Portimão,10/02/2015,25.3
Mexilhão,FAR1,Faro,09/02/2015,25.3
Mexilhão,LAG,Lagos,10/02/2015,25.3
Mexilhão,L7a,Lagos,10/02/2015,25.3
Berbigão,FAR2,Faro,09/02/2015,25.3
Mexilhão,ELM,V. Castelo,10/02/2015,103.0
Mexilhão,L2,Douro,09/02/2015,60.0
Mexilhão,L1,Caminha,10/02/2015,92.0
A. Branca,L3,Aveiro,11/02/2015,25.3
Mexilhão,FUZ1,Olhão,16/02/2015,31.0
Mexilhão,OLH4,Olhão,16/02/2015,23.0
Mexilhão,L8,Olhão,16/02/2015,19.0
Mexilhão,OLH2,Olhão,16/02/2015,28.0
Mexilhão,OLH3,Olhão,16/02/2015,28.0
Conquilha,L8,Olhão,16/02/2015,47.0
Conquilha,L9,VRSA,16/02/2015,29.0
Berbigão,OLH1,Olhão,16/02/2015,25.3
Berbigão,OLH5,Olhão,16/02/2015,25.3
Mexilhão,RIAV4,Aveiro,16/02/2015,23.0
Mexilhão,RIAV2,Aveiro,16/02/2015,45.0
Mexilhão,RIAV1,Aveiro,16/02/2015,35.0
Berbigão,RIAV1,Aveiro,16/02/2015,18.0
Berbigão,RIAV2,Aveiro,16/02/2015,25.3
Mexilhão,LOB,Peniche,17/02/2015,25.3
Berbigão,LOB,Peniche,17/02/2015,20.0
Berbigão,EMN2,Fig. Foz,17/02/2015,18.0
Berbigão,ESD1,Setúbal,17/02/2015,25.3
Mexilhão,L7c,Lagos,17/02/2015,25.3
Mexilhão,LAG,Lagos,17/02/2015,23.0
Mexilhão,TAV2,Tavira,17/02/2015,21.0
Mexilhão,POR2,Portimão,17/02/2015,24.0
Mexilhão,ETJ,Lisboa,19/02/2015,25.3
A. Branca,L2,Douro,18/02/2015,25.3
Mexilhão,L5,Lisboa,19/02/2015,25.3
Mexilhão,ELM,V. Castelo,18/02/2015,47.0
Berbigão,FAR2,Faro,18/02/2015,25.3
A. Boa,VT1,Tavira-VRSA,18/02/2015,25.3
Mexilhão,L2,Douro,18/02/2015,63.0
Mexilhão,L1,Caminha,18/02/2015,85.0
Mexilhão,FAR1,Faro,18/02/2015,25.3
Mexilhão,L7c,Lagos,19/02/2015,25.3
A. Japonesa,ETJ,Lisboa,19/02/2015,16.0
A. Japonesa,ETJ,Lisboa,23/02/2015,25.3
Mexilhão,EMR,Sines,23/02/2015,16.0
Berbigão,OLH1,Olhão,23/02/2015,16.0
Mexilhão,TAV2,Tavira,23/02/2015,17.0
Berbigão,FAR2,Faro,23/02/2015,25.3
Mexilhão,L8,Olhão,23/02/2015,18.0
Berbigão,OLH5,Olhão,23/02/2015,25.3
Mexilhão,FAR1,Faro,23/02/2015,17.0
Mexilhão,OLH3,Olhão,23/02/2015,25.0
Mexilhão,OLH4,Olhão,23/02/2015,21.0
Mexilhão,FUZ1,Olhão,23/02/2015,22.0
Mexilhão,OLH2,Olhão,23/02/2015,25.3
Berbigão,LOB,Peniche,24/02/2015,25.3
Mexilhão,LOB,Peniche,24/02/2015,25.3
Mexilhão,RIAV1,Aveiro,23/02/2015,20.0
A. Branca,L3,Aveiro,23/02/2015,25.3
Berbigão,RIAV3,Aveiro,23/02/2015,25.3
Mexilhão,RIAV4,Aveiro,23/02/2015,25.3
Mexilhão,RIAV2,Aveiro,23/02/2015,25.3
Berbigão,RIAV1,Aveiro,23/02/2015,25.3
Berbigão,RIAV2,Aveiro,23/02/2015,25.3
Mexilhão,L3,Aveiro,23/02/2015,38.0
Mexilhão,L2,Douro,23/02/2015,61.0
Mexilhão,L6,Setúbal,24/02/2015,25.3
Berbigão,ESD1,Setúbal,24/02/2015,25.3
A. Japonesa,ESD2,Setúbal,24/02/2015,25.3
Mexilhão,ELM,V. Castelo,24/02/2015,72.0
Mexilhão,L1,V. Castelo,24/02/2015,80.0
A. Boa,VT1,Tavira-VRSA,24/02/2015,25.3
Mexilhão,L7c,Lagos,23/02/2015,25.3
Mexilhão,POR2,Portimão,24/02/2015,25.3
Mexilhão,LAG,Lagos,24/02/2015,25.3
Mexilhão,L7a,Lagos,24/02/2015,25.3
Berbigão,EMN2,Fig. Foz,24/02/2015,25.3
A. Asiática,EMI,Caminha,24/02/2015,25.3
Mexilhão,L7c,Lagos,24/02/2015,25.3
Conquilha,L8,Olhão,24/02/2015,25.3
Conquilha,L9,VRSA,24/02/2015,30.0
Mexilhão,ETJ,Lisboa,26/02/2015,25.3
Mexilhão,L5,Lisboa,26/02/2015,25.3
Mexilhão,LAL,Setúbal,02/03/2015,36.0
Mexilhão,L8,Olhão,02/03/2015,25.3
Mexilhão,OLH4,Olhão,02/03/2015,38.0
Mexilhão,FUZ1,Olhão,02/03/2015,40.0
Mexilhão,OLH3,Olhão,02/03/2015,38.0
Berbigão,OLH1,Olhão,02/03/2015,25.3
Mexilhão,LOB,Peniche,03/03/2015,34.0
Berbigão,LOB,Peniche,03/03/2015,38.0
Mexilhão,RIAV1,Aveiro,02/03/2015,41.0
Mexilhão,RIAV2,Aveiro,02/03/2015,81.0
Mexilhão,RIAV4,Aveiro,02/03/2015,38.0
Berbigão,RIAV2,Aveiro,02/03/2015,33.0
Berbigão,RIAV1,Aveiro,02/03/2015,25.3
Ameijola,L6,Setúbal,03/03/2015,25.3
Berbigão,ESD1,Setúbal,03/03/2015,25.3
A. Japonesa,ESD2,Setúbal,03/03/2015,25.3
Mexilhão,L6,Setúbal,03/03/2015,27.0
Conquilha,L9,VRSA,03/03/2015,59.0
Mexilhão,L7c,Lagos,03/03/2015,42.0
Conquilha,L8,Olhão,03/03/2015,56.0
Mexilhão,POR2,Portimão,03/03/2015,28.0
Mexilhão,OLH2,Olhão,03/03/2015,28.0
Mexilhão,LAG,Lagos,03/03/2015,35.0
Mexilhão,L7a,Lagos,03/03/2015,27.0
Berbigão,EMN2,Fig. Foz,03/03/2015,27.0
Mexilhão,L7c,Lagos,03/03/2015,27.0
Berbigão,OLH5,Olhão,04/03/2015,27.0
Berbigão,FAR2,Faro,04/03/2015,25.3
Mexilhão,TAV2,Tavira,04/03/2015,30.0
Mexilhão,ELM,V. Castelo,04/03/2015,74.0
Mexilhão,FAR1,Faro,04/03/2015,28.0
Mexilhão,L2,Douro,03/03/2015,83.0
Mexilhão,L1,Caminha,04/03/2015,58.0
A. Branca,L2,Douro,04/01/2015,25.3
Mexilhão,L5,Lisboa,06/03/2015,25.3
Mexilhão,ETJ,Lisboa,06/03/2015,25.3
Mexilhão,LAL,Setúbal,09/03/2015,25.3
A. Japonesa,ETJ,Lisboa,09/03/2015,25.3
Mexilhão,EMR,Sines,09/03/2015,25.3
Berbigão,OLH1,Olhão,09/03/2015,25.3
Mexilhão,L8,Olhão,09/03/2015,25.3
Mexilhão,OLH2,Olhão,09/03/2015,25.3
Mexilhão,TAV2,Tavira,09/03/2015,25.3
Mexilhão,OLH3,Olhão,09/03/2015,25.3
Mexilhão,FUZ1,Olhão,09/03/2015,25.3
Mexilhão,OLH4,Olhão,09/03/2015,25.3
Mexilhão,RIAV4,Aveiro,09/03/2015,36.0
Mexilhão,RIAV1,Aveiro,09/03/2015,61.0
Berbigão,RIAV2,Aveiro,09/03/2015,33.0
Mexilhão,RIAV2,Aveiro,09/03/2015,39.0
Berbigão,RIAV1,Aveiro,09/03/2015,32.0
Mexilhão,L3,Aveiro,09/03/2015,81.0
Mexilhão,L7c,Lagos,09/03/2015,37.0
Ostra-portuguesa,VT1,Tavira-VRSA,09/03/2015,25.3
Mexilhão,LOB,Peniche,10/03/2015,31.0
Mexilhão,L5,Peniche,10/03/2015,32.0
Berbigão,LOB,Peniche,10/03/2015,37.0
Conquilha,L8,Olhão,10/03/2015,67.0
Longueirão,L6,Setúbal,10/03/2015,25.3
Berbigão,OLH5,Olhão,10/03/2015,29.0
Mexilhão,L6,Setúbal,10/03/2015,25.3
Mexilhão,L7c,Lagos,10/03/2015,30.0
A. Japonesa,ESD2,Setúbal,10/03/2015,25.3
Mexilhão,LAG,Lagos,10/03/2015,30.0
Berbigão,ESD1,Setúbal,10/03/2015,25.3
Mexilhão,L5,Lisboa,11/03/2015,25.3
Mexilhão,ETJ,Lisboa,11/03/2015,25.3
Mexilhão,ELM,V. Castelo,10/03/2015,81.0
A. Asiática,EMI,Caminha,10/03/2015,25.3
Berbigão,EMN2,Fig. Foz,10/03/2015,25.3
Mexilhão,L2,Douro,10/03/2015,54.0
Mexilhão,L1,Caminha,10/03/2015,98.0
Conquilha,L9,VRSA,11/03/2015,50.0
Berbigão,FAR2,Faro,11/03/2015,25.3
Mexilhão,FAR1,Faro,11/03/2015,25.3
A. Branca,L2,Douro,11/03/2015,25.3
A. Branca,L3,Aveiro,11/03/2015,25.3
Mexilhão,LAL,Setúbal,16/03/2015,32.0
Mexilhão,OLH4,Olhão,16/03/2015,25.3
Mexilhão,L8,Olhão,16/03/2015,25.3
Mexilhão,OLH3,Olhão,16/03/2015,25.3
Mexilhão,FUZ1,Olhão,16/03/2015,25.3
Berbigão,FAR2,Faro,16/03/2015,25.3
Ostra-portuguesa,VT1,Tavira-VRSA,16/03/2015,25.3
Mexilhão,OLH2,Olhão,16/03/2015,25.3
Mexilhão,LOB,Peniche,17/03/2015,30.0
Mexilhão,FAR1,Faro,16/03/2015,25.3
Berbigão,LOB,Peniche,17/03/2015,27.0
Berbigão,OLH5,Olhão,16/03/2015,25.3
Berbigão,OLH1,Olhão,16/03/2015,25.3
Mexilhão,RIAV2,Aveiro,16/03/2015,25.3
A. Branca,L3,Aveiro,16/03/2015,43.0
Berbigão,RIAV1,Aveiro,16/03/2015,25.3
Mexilhão,RIAV1,Aveiro,16/03/2015,25.3
Mexilhão,ELM,V. Castelo,16/03/2015,34.0
Berbigão,RIAV3,Aveiro,16/03/2015,57.0
Berbigão,RIAV2,Aveiro,16/03/2015,25.3
Mexilhão,L1,Caminha,16/03/2015,25.3
A. Japonesa,ETJ,Lisboa,17/03/2015,67.0
Berbigão,ESD1,Setúbal,17/03/2015,25.3
Mexilhão,L7c,Lagos,17/03/2015,25.3
Mexilhão,TAV2,Tavira,16/03/2015,25.3
Mexilhão,L7c,Lagos,17/03/2015,15.0
Mexilhão,POR2,Portimão,17/03/2015,17.0
Mexilhão,LAG,Lagos,17/03/2015,17.0
Berbigão,EMN2,Fig. Foz,17/03/2015,18.0
Mexilhão,L7a,Lagos,17/03/2015,25.3
Mexilhão,RIAV4,Aveiro,17/03/2015,29.0
A. Branca,L2,Douro,18/03/2015,25.3
A. Branca,L3,Aveiro,18/03/2015,25.3
Mexilhão,L2,Douro,17/03/2015,57.0
Mexilhão,ETJ,Lisboa,20/03/2015,25.3
Mexilhão,L5,Lisboa,20/03/2015,25.3
Conquilha,L6,Setúbal,19/03/2015,29.0
Longueirão,L6,Setúbal,19/03/2015,30.0
Ameijola,L6,Setúbal,19/03/2015,25.3
Mexilhão,LAL,Setúbal,23/03/2015,28.0
A. Japonesa,ETJ,Lisboa,23/03/2015,23.0
Conquilha,L8,Olhão,23/03/2015,42.0
Mexilhão,L6,Setúbal,24/03/2015,25.3
Berbigão,ESD1,Setúbal,24/03/2015,25.3
A. Japonesa,ESD2,Setúbal,24/03/2015,25.3
Conquilha,L9,VRSA,23/03/2015,54.0
A. Boa,RIAV3,Aveiro,23/03/2015,31.0
Mexilhão,L8,Olhão,23/03/2015,47.0
Mexilhão,OLH3,Olhão,23/03/2015,34.0
Mexilhão,FAR1,Faro,23/03/2015,34.0
Mexilhão,OLH4,Olhão,23/03/2015,36.0
Mexilhão,FUZ1,Olhão,23/03/2015,35.0
Mexilhão,L3,Aveiro,23/03/2015,53.0
Mexilhão,OLH2,Olhão,23/03/2015,37.0
Ostra-portuguesa,VT1,Tavira-VRSA,24/03/2015,25.3
Mexilhão,TAV2,Tavira,23/03/2015,29.0
Berbigão,OLH1,Olhão,23/03/2015,34.0
Mexilhão,LOB,Peniche,24/03/2015,36.0
Berbigão,FAR2,Faro,23/03/2015,39.0
Mexilhão,RIAV1,Aveiro,23/03/2015,30.0
Mexilhão,RIAV4,Aveiro,23/03/2015,34.0
Mexilhão,EMR,Sines,24/03/2015,23.0
Berbigão,LOB,Peniche,24/03/2015,25.0
A. Japonesa,RIAV3,Aveiro,23/03/2015,32.0
Mexilhão,RIAV2,Aveiro,23/03/2015,27.0
A. Macha,RIAV3,Aveiro,23/03/2015,24.0
Berbigão,RIAV3,Aveiro,23/03/2015,25.3
Berbigão,RIAV1,Aveiro,23/03/2015,23.0
Berbigão,RIAV2,Aveiro,23/03/2015,22.0
Mexilhão,L7c,Lagos,24/03/2015,23.0
Mexilhão,LAG,Lagos,24/03/2015,44.0
Mexilhão,L7c,Lagos,24/03/2015,25.3
A. Asiática,EMI,Caminha,24/03/2015,25.3
Berbigão,OLH5,Olhão,24/03/2015,50.0
Mexilhão,L2,Douro,23/03/2015,76.0
Mexilhão,ELM,V. Castelo,24/03/2015,75.0
Berbigão,EMN2,Fig. Foz,24/03/2015,32.0
Mexilhão,L5,Lisboa,25/03/2015,29.0
Mexilhão,POR2,Portimão,24/03/2015,25.3
Mexilhão,ETJ,Lisboa,24/03/2015,25.3
Mexilhão,L1,Caminha,24/03/2015,77.0
Mexilhão,LAL,Setúbal,30/03/2015,23.0
A. Japonesa,ETJ,Lisboa,30/03/2015,20.0
Mexilhão,FUZ1,Olhão,30/03/2015,30.0
Mexilhão,L8,Olhão,30/03/2015,27.0
Ostra-portuguesa,VT1,Tavira-VRSA,30/03/2015,25.3
Mexilhão,OLH4,Olhão,30/03/2015,38.0
Mexilhão,OLH2,Olhão,30/03/2015,33.0
Mexilhão,OLH3,Olhão,30/03/2015,29.0
Mexilhão,L7c,Lagos,30/03/2015,25.3
Conquilha,L9,VRSA,30/03/2015,91.0
Conquilha,L8,Olhão,30/03/2015,37.0
Berbigão,OLH1,Olhão,30/03/2015,41.0
Berbigão,OLH5,Olhão,30/03/2015,30.0
Mexilhão,LOB,Peniche,31/03/2015,27.0
Berbigão,LOB,Peniche,31/03/2015,27.0
Mexilhão,RIAV2,Aveiro,30/03/2015,24.0
A. Branca,L3,Aveiro,30/03/2015,25.3
Mexilhão,RIAV1,Aveiro,30/03/2015,42.0
Mexilhão,RIAV4,Aveiro,30/03/2015,25.3
Berbigão,RIAV1,Aveiro,30/03/2015,25.3
Berbigão,RIAV2,Aveiro,30/03/2015,25.3
Berbigão,LAG,Lagos,31/03/2015,56.0
Mexilhão,L7c,Lagos,31/03/2015,80.0
Mexilhão,POR2,Portimão,31/03/2015,25.3
Mexilhão,FAR1,Faro,31/03/2015,53.0
Mexilhão,L7a,Lagos,31/03/2015,41.0
Berbigão,FAR2,Faro,31/03/2015,43.0
Mexilhão,TAV2,Tavira,31/03/2015,25.3
Longueirão,L6,Setúbal,31/03/2015,41.0
Conquilha,L6,Setúbal,31/03/2015,25.3
Berbigão,ESD1,Setúbal,31/03/2015,25.3
A. Japonesa,ESD2,Setúbal,31/03/2015,25.3
Mexilhão,ELM,V. Castelo,31/03/2015,63.0
Mexilhão,L6,Setúbal,31/03/2015,25.3
Mexilhão,L2,Douro,30/03/2015,119.0
A. Branca,L2,Douro,30/03/2015,41.0
Berbigão,EMN2,Fig. Foz,31/03/2015,25.3
Mexilhão,ETJ,Lisboa,02/04/2015,25.3
Mexilhão,L5,Lisboa,02/04/2015,25.3
Mexilhão,EMR,Sines,06/04/2015,25.3
Mexilhão,LAL,Setúbal,06/04/2015,36.0
Mexilhão,L8,Olhão,06/04/2015,29.0
Mexilhão,TAV2,Tavira,06/04/2015,32.0
Mexilhão,FAR1,Faro,06/04/2015,23.0
Berbigão,OLH1,Olhão,06/04/2015,42.0
