Espécie,Zona de produção,Capitania,Data da colheita,Toxinas Lipofílicas
Mexilhão,TAV2,Tavira,04/12/2017,34.0
A. Boa,FUZ1,Olhão,04/12/2017,25.3
Mexilhão,OLH4,Olhão,04/12/2017,25.3
Mexilhão,LOB,Peniche,05/12/2017,25.3
Mexilhão,L5a,Lisboa,05/12/2017,506.0
Mexilhão,L6,Setúbal,05/12/2017,290.0
A. Japonesa,ESD2,Setúbal,05/12/2017,25.3
Berbigão,LOB,Peniche,05/12/2017,50.0
Lambujinha,ETJ,Lisboa,05/12/2017,25.3
A. Japonesa,ETJ,Lisboa,05/12/2017,25.3
Mexilhão,L2,Douro,04/12/2017,121.0
A. Branca,L2,Douro,04/12/2017,25.3
Mexilhão,ELM,V. Castelo,05/12/2017,48.0
Mexilhão,L1,Caminha,05/12/2017,287.0
Ostra-gigante,VT1,Tavira-VRSA,04/12/2017,25.3
Ostra-gigante,GUA,GUA,04/12/2017,25.3
Mexilhão,L7c,Lagos,05/12/2017,33.0
Mexilhão,LAG,Lagos,05/12/2017,27.0
Berbigão,EMN1,Fig. Foz,05/12/2017,25.3
Mexilhão,L4,Nazaré,05/12/2017,403.0
Mexilhão,POR2,Portimão,05/12/2017,45.0
Mexilhão,FAR1,Faro,05/12/2017,25.3
Ostra-gigante,POR3,Portimão,05/12/2017,25.3
Mexilhão,EMR,Sines,06/12/2017,119.0
Ostra-portuguesa,EMR,Sines,06/12/2017,25.3
Conquilha,L9,VRSA,06/12/2017,89.0
Conquilha,L8,Olhão,06/12/2017,53.0
Conquilha,L5b,Lisboa,07/12/2017,569.0
Conquilha,L5b,Lisboa,05/12/2017,381.0
Mexilhão,LAL,Setúbal,11/12/2017,25.3
Mexilhão,ETJ,Lisboa,11/12/2017,225.0
Mexilhão,RIAV1,Aveiro,11/12/2017,175.0
Mexilhão,TAV2,Tavira,11/12/2017,50.0
Mexilhão,OLH4,Olhão,11/12/2017,25.3
Mexilhão,RIAV2,Aveiro,11/12/2017,138.0
Berbigão,RIAV2,Aveiro,11/12/2017,56.0
Mexilhão,OLH3,Olhão,11/12/2017,25.3
Mexilhão,LOB,Peniche,12/12/2017,25.3
Berbigão,LOB,Peniche,12/12/2017,80.0
A. Japonesa,ESD2,Setúbal,12/12/2017,25.3
Ostra-gigante,VT1,Tavira-VRSA,10/12/2017,25.3
Mexilhão,L7c,Lagos,11/12/2017,25.3
Mexilhão,OLH2,Olhão,12/12/2017,25.3
Berbigão,OLH5,Olhão,12/12/2017,25.3
Mexilhão,LAG,Lagos,11/12/2017,25.3
Mexilhão,EMN2,Fig. Foz,12/12/2017,127.0
Berbigão,EMN1,Fig. Foz,12/12/2017,25.3
Berbigão,RIAV3,Aveiro,12/12/2017,60.0
Berbigão,RIAV1,Aveiro,12/12/2017,15.0
Berbigão,EMN2,Fig. Foz,12/12/2017,29.0
Mexilhão,FAR1,Faro,12/12/2017,25.3
A. Japonesa,ETJ,Lisboa,13/12/2017,25.3
Lambujinha,ESD1,Setúbal,13/12/2017,25.3
Lambujinha,ESD2,Setúbal,13/12/2017,25.3
Ostra-gigante,L7b,Lagos-Portimão,12/12/2017,25.3
Ostra-gigante,POR3,Portimão,12/12/2017,25.3
Mexilhão,L7c,Lagos,13/12/2017,25.3
Conquilha,L5b,Lisboa,14/12/2017,44.0
Conquilha,L5b,Lisboa,12/12/2017,350.0
