N.ºamostra,Data da colheita,Zona de produção,DSP
209,04/02/2015,EMI,20
210,04/02/2015,ELM,20
211,04/02/2015,L1,20
212,03/02/2015,L2,20
213,09/02/2015,LAL,20
214,09/02/2015,L5,20
215,09/02/2015,L5,20
216,09/02/2015,ETJ,20
217,09/02/2015,VT1,20
218,09/02/2015,OLH1,20
219,09/02/2015,OLH2,20
220,09/02/2015,L9,20
221,09/02/2015,OLH4,20
222,09/02/2015,OLH3,20
223,09/02/2015,OLH5,20
224,09/02/2015,FUZ1,20
225,09/02/2015,TAV2,20
226,09/02/2015,L8,20
227,10/02/2015,LOB,20
228,10/02/2015,L5,20
229,10/02/2015,L6,20
230,10/02/2015,ESD1,20
231,10/02/2015,L6,20
232,10/02/2015,ESD2,20
233,10/02/2015,ESD1,20
234,10/02/2015,EMN2,20
235,09/02/2015,RIAV1/L3,20
236,09/02/2015,RIAV2,20
237,09/02/2015,RIAV3,20
238,09/02/2015,RIAV4,20
239,09/02/2015,RIAV1,20
240,09/02/2015,L3,20
241,10/02/2015,FAR1,20
242,09/02/2015,FAR2,20
243,10/02/2015,POR2,20
244,10/02/2015,LAG,20
245,10/02/2015,L7a,20
246,10/02/2015,L7c,20
247,09/02/2015,L2,20
248,09/02/2015,L1,20
249,10/02/2015,EMI,20
250,10/02/2015,EMI,20
251,10/02/2015,ELM,20
252,10/02/2015,L2,20
253,10/02/2015,L1,20
254,11/02/2015,RIAV1/L3,20
255,11/02/2015,L3,20
256,11/02/2015,RIAV4,20
257,11/02/2015,EMN2,20
258,16/02/2015,L8,20
259,16/02/2015,L8,12020
260,16/02/2015,L9,20
261,16/02/2015,VT1,20
262,16/02/2015,TAV2,20
263,16/02/2015,OLH2,20
264,16/02/2015,OLH1,20
265,16/02/2015,OLH3,20
266,16/02/2015,L5,20
267,17/02/2015,LOB,20
268,16/02/2015,RIAV1/L3,20
269,16/02/2015,RIAV2,20
270,16/02/2015,RIAV3,20
271,16/02/2015,RIAV4,20
272,16/02/2015,RIAV1,20
273,16/02/2015,L3,20
274,17/02/2015,ESD1,20
275,17/02/2015,ESD1,20
276,17/02/2015,L6,20
277,17/02/2015,ESD2,20
278,17/02/2015,L6,20
279,17/02/2015,EMN2,20
280,17/02/2015,LAG,20
281,17/02/2015,L7c,20
282,16/02/2015,OLH4,20
283,17/02/2015,POR2,20
284,17/02/2015,L7a,20
285,16/02/2015,FUZ1,20
287,18/02/2015,L5,20
288,18/02/2015,L1,20
289,18/02/2015,L2,220
290,17/02/2015,L2,20
291,18/02/2015,L1,20
292,18/02/2015,ELM,20
293,16/02/2015,EMI,20
294,16/02/2015,EMI,20
295,18/02/2015,L8,20
296,18/02/2015,FAR2,20
297,18/02/2015,FAR1,20
298,18/02/2015,OLH5,20
299,19/02/2015,L5,20
300,19/02/2015,ETJ,20
301,19/02/2015,ETJ,20
302,23/02/2015,ETJ,20
303,23/02/2015,EMR,20
304,23/02/2015,L8,20
305,23/02/2015,L9,220
306,23/02/2015,VT1,20
307,23/02/2015,TAV2,20
308,23/02/2015,FUZ1,20
309,23/02/2015,OLH1,20
310,23/02/2015,OLH2,20
311,23/02/2015,L8,20
312,23/02/2015,FAR2,20
313,24/02/2015,LOB,20
314,23/02/2015,RIAV1/L3,20
315,23/02/2015,RIAV2,20
316,23/02/2015,RIAV3,20
317,23/02/2015,RIAV4,20
318,23/02/2015,L3,20
319,23/02/2015,RIAV1,20
320,23/02/2015,L1,20
321,23/02/2015,L2,20
322,24/02/2015,L1,20
323,23/02/2015,ELM,20
324,24/02/2015,EMI,20
325,24/02/2015,EMI,20
326,24/02/2015,L6,20
327,24/02/2015,ESD1,20
328,24/02/2015,ESD2,20
329,24/02/2015,ESD1,20
330,24/02/2015,L6,20
333,24/02/2015,FAR1,20
378,24/02/2015,L7c,20
379,25/02/2015,OLH5,20
380,24/02/2015,L8,20
381,25/02/2015,OLH4,20
382,26/02/2015,L5,20
383,26/02/2015,ETJ,20
384,27/02/2015,L5,20
385,02/03/2015,LAL,20
386,02/03/2015,L8,20
387,02/03/2015,VT1,20
388,02/03/2015,TAV2,20
389,02/03/2015,OLH2,20
390,02/03/2015,L9,20
391,02/03/2015,FUZ1,20
392,02/03/2015,OLH1,20
393,02/03/2015,OLH3,20
394,03/03/2015,L5,20
395,03/03/2015,LOB,20
396,02/03/2015,RIAV1,20
397,02/03/2015,L3,20
398,02/03/2015,RIAV4,20
399,02/03/2015,RIAV2,20
400,02/03/2015,RIAV1/L3,20
401,02/03/2015,RIAV3,20
402,03/03/2015,L6,20
403,03/03/2015,L6,20
404,03/03/2015,ESD1,20
405,03/03/2015,ESD1,20
406,03/03/2015,ESD2,20
407,03/03/2015,L7a,20
408,03/03/2015,L7c,20
409,03/03/2015,LAG,20
410,03/03/2015,POR2,20
411,03/03/2015,L7c,20
412,03/03/2015,OLH5,20
413,03/03/2015,L8,420
414,03/03/2015,EMN2,20
415,04/03/2015,L5,20
416,04/03/2015,OLH4,220
417,04/03/2015,FAR1,20
418,04/03/2015,L8,20
419,04/03/2015,EMI,20
420,04/03/2015,ELM,20
421,03/03/2015,L1,20
422,04/03/2015,L1,20
423,04/03/2015,EMI,20
424,03/03/2015,L2,20
425,05/03/2015,L2,20
426,06/03/2015,ETJ,20
427,06/03/2015,L5,20
428,09/03/2015,LAL,20
429,09/03/2015,ETJ,20
430,09/03/2015,L5,20
431,09/03/2015,EMR,20
432,09/03/2015,EMR,20
433,09/03/2015,FAR1,20
434,09/03/2015,L8,12020
435,09/03/2015,OLH5,20
436,09/03/2015,RIAV1/L3,20
437,09/03/2015,RIAV2,20
438,09/03/2015,RIAV3,20
439,09/03/2015,RIAV4,20
440,09/03/2015,RIAV1,20
441,09/03/2015,L3,20
442,10/03/2015,LOB,20
443,10/03/2015,L5,20
444,10/03/2015,L6,20
445,10/03/2015,L6,20
446,10/03/2015,ESD1,20
447,10/03/2015,ESD1,20
448,10/03/2015,ESD2,20
449,10/03/2015,L7c,20
450,10/03/2015,L8,20
